parcel_id,island,suburb,area,height
7546,Venice,San Polo,456,9
7545,Venice,Cannaregio,252,9
7489,Venice,San Polo,456,8
7490,Venice,San Marco,392,8
7491,Venice,San Marco,336,8
7492,Venice,San Polo,330,8
7493,Venice,Santa Croce,312,8
7494,Venice,Castello,288,8
7496,Venice,Dorsoduro,280,8
7495,Venice,Santa Croce,280,8
7497,Venice,San Polo,272,8
7498,Venice,San Polo,270,8
7499,Venice,Santa Croce,264,8
7501,Venice,Cannaregio,252,8
7502,Venice,Cannaregio,252,8
7503,Venice,Cannaregio,252,8
7500,Venice,San Marco,252,8
7549,Venice,San Marco,240,8
7508,Venice,San Marco,240,8
7504,Venice,San Polo,240,8
7505,Venice,Santa Croce,240,8
7507,Venice,San Polo,238,8
7506,Venice,San Polo,238,8
7509,Venice,Dorsoduro,234,8
7510,Venice,San Polo,231,8
7511,Venice,Castello,224,8
7514,Venice,San Marco,220,8
7512,Venice,San Polo,220,8
7517,Venice,Santa Croce,220,8
7513,Venice,Santa Croce,220,8
7520,Venice,Cannaregio,216,8
7521,Venice,Cannaregio,216,8
7519,Venice,Dorsoduro,216,8
7515,Venice,San Marco,216,8
7516,Venice,San Polo,216,8
7518,Venice,San Polo,216,8
7523,Venice,San Polo,200,8
7522,Venice,Santa Croce,200,8
7525,Venice,Dorsoduro,192,8
7524,Venice,San Polo,192,8
7528,Venice,Castello,180,8
7531,Venice,Castello,180,8
7532,Venice,Castello,180,8
7533,Venice,Castello,180,8
7529,Venice,Dorsoduro,180,8
7530,Venice,Dorsoduro,180,8
7526,Venice,San Marco,180,8
7527,Venice,San Marco,180,8
7534,Venice,San Polo,170,8
7536,Venice,San Marco,162,8
7539,Venice,San Polo,162,8
7537,Venice,San Marco,160,8
7538,Venice,San Marco,160,8
7535,Venice,Santa Croce,160,8
7540,Venice,Cannaregio,156,8
7541,Venice,Santa Croce,144,8
7542,Venice,Santa Croce,140,8
7543,Venice,San Polo,135,8
7544,Venice,San Polo,108,8
7548,Venice,San Polo,238,7
7547,Venice,Castello,180,7
