Parcel_id,Island,Suburb,Height,Area
10657,Chronos,Autumn,15,234
10655,Chronos,Autumn,9,234
10663,Chronos,Autumn,10,225
10665,Chronos,Autumn,8,225
10975,Chronos,Autumn,14,210
10675,Chronos,Autumn,10,210
10672,Chronos,Autumn,9,210
10673,Chronos,Autumn,8,210
10677,Chronos,Autumn,8,210
10977,Chronos,Autumn,8,210
10691,Chronos,Autumn,13,208
10983,Chronos,Autumn,12,208
10690,Chronos,Autumn,11,208
10985,Chronos,Autumn,11,208
10689,Chronos,Autumn,10,208
10697,Chronos,Autumn,9,208
10693,Chronos,Autumn,8,208
10695,Chronos,Autumn,8,208
10717,Chronos,Autumn,15,195
10992,Chronos,Autumn,15,195
10713,Chronos,Autumn,14,195
10997,Chronos,Autumn,14,195
10711,Chronos,Autumn,10,195
10719,Chronos,Autumn,10,195
10723,Chronos,Autumn,10,195
10718,Chronos,Autumn,9,195
10727,Chronos,Autumn,9,195
10995,Chronos,Autumn,9,195
10999,Chronos,Autumn,9,195
11001,Chronos,Autumn,9,195
10721,Chronos,Autumn,8,195
10725,Chronos,Autumn,8,195
10729,Chronos,Autumn,8,195
10732,Chronos,Autumn,8,195
10733,Chronos,Autumn,8,195
10993,Chronos,Autumn,8,195
10761,Chronos,Autumn,15,187
10760,Chronos,Autumn,13,187
10765,Chronos,Autumn,11,187
10763,Chronos,Autumn,9,187
10787,Chronos,Autumn,15,182
10781,Chronos,Autumn,13,182
10780,Chronos,Autumn,12,182
10789,Chronos,Autumn,12,182
10779,Chronos,Autumn,11,182
10783,Chronos,Autumn,10,182
10775,Chronos,Autumn,9,182
10785,Chronos,Autumn,8,182
11016,Chronos,Autumn,8,182
11017,Chronos,Autumn,8,182
11019,Chronos,Autumn,8,182
11021,Chronos,Autumn,8,182
10815,Chronos,Autumn,15,180
10820,Chronos,Autumn,13,180
10807,Chronos,Autumn,10,180
10811,Chronos,Autumn,9,180
10813,Chronos,Autumn,9,180
10809,Chronos,Autumn,8,180
10817,Chronos,Autumn,8,180
10821,Chronos,Autumn,8,180
10845,Chronos,Autumn,15,176
11031,Chronos,Autumn,10,176
11033,Chronos,Autumn,10,176
10840,Chronos,Autumn,9,176
10841,Chronos,Autumn,8,176
10843,Chronos,Autumn,8,176
10847,Chronos,Autumn,8,176
10849,Chronos,Autumn,8,176
10370,Chronos,Autumn,16,168
11041,Chronos,Autumn,14,165
10863,Chronos,Autumn,11,165
10865,Chronos,Autumn,11,165
11039,Chronos,Autumn,9,165
10868,Chronos,Autumn,8,165
10869,Chronos,Autumn,8,165
11047,Chronos,Autumn,15,160
10881,Chronos,Autumn,9,160
10880,Chronos,Autumn,8,160
10883,Chronos,Autumn,8,160
10885,Chronos,Autumn,8,160
11049,Chronos,Autumn,8,160
10473,Chronos,Autumn,16,156
10475,Chronos,Autumn,16,156
10895,Chronos,Autumn,8,156
10897,Chronos,Autumn,8,156
10905,Chronos,Autumn,12,154
10903,Chronos,Autumn,8,154
11059,Chronos,Autumn,15,150
10925,Chronos,Autumn,13,150
10919,Chronos,Autumn,12,150
11061,Chronos,Autumn,11,150
10916,Chronos,Autumn,10,150
10917,Chronos,Autumn,9,150
10923,Chronos,Autumn,9,150
11057,Chronos,Autumn,9,150
10911,Chronos,Autumn,8,150
10913,Chronos,Autumn,8,150
10921,Chronos,Autumn,8,150
11056,Chronos,Autumn,8,150
10439,Chronos,Autumn,16,144
10404,Chronos,Autumn,16,132
10459,Chronos,Autumn,16,130
10481,Chronos,Autumn,16,130
10369,Chronos,Autumn,16,120
10509,Chronos,Autumn,16,120
10951,Chronos,Autumn,13,120
10943,Chronos,Autumn,12,120
10953,Chronos,Autumn,12,120
10945,Chronos,Autumn,11,120
10949,Chronos,Autumn,10,120
10947,Chronos,Autumn,8,120
10967,Chronos,Autumn,8,120
10969,Chronos,Autumn,8,120
10391,Chronos,Autumn,16,110
10403,Chronos,Autumn,16,110
10467,Chronos,Autumn,16,110
10326,Chronos,Autumn,16,108
10328,Chronos,Autumn,16,108
10416,Chronos,Autumn,16,108
10440,Chronos,Autumn,16,108
10521,Chronos,Autumn,16,100
10523,Chronos,Autumn,16,100
