Parcel_Id,Depth,Width,Area,Height,Is_Seaside
6040,23,10,229,16,Yes
6024,10,13,129,16,Yes
6067,8,17,135,14,Yes
6037,7,17,118,14,Yes
6058,8,10,79,14,Yes
6031,17,8,135,13,Yes
6020,17,14,237,12,Yes
6043,13,9,116,12,Yes
6036,9,12,107,12,Yes
6055,13,12,155,10,Yes
6057,9,9,80,10,Yes
6063,12,17,203,9,Yes
6065,11,11,120,9,Yes
6010,11,13,142,8,Yes
6009,10,13,129,8,Yes
6048,12,9,107,8,Yes
6016,8,13,103,8,Yes
6007,17,11,186,16,No
6049,12,10,119,15,No
6005,13,7,90,15,No
5950,10,15,149,14,No
5935,10,9,89,14,No
5966,13,21,272,13,No
5933,17,12,203,13,No
5976,10,18,179,13,No
5978,12,14,167,13,No
5962,17,17,288,12,No
6022,13,18,233,12,No
5995,22,10,219,12,No
5934,7,17,118,12,No
6026,7,14,97,12,No
5922,20,18,359,11,No
6053,14,12,167,11,No
5909,11,14,153,11,No
5912,20,6,119,11,No
6041,7,7,48,11,No
5957,18,16,287,10,No
5990,17,10,169,10,No
5949,13,12,155,10,No
6038,8,18,143,10,No
5921,7,7,48,10,No
6000,9,19,170,9,No
5913,12,14,167,9,No
5946,14,10,139,9,No
5956,31,10,309,8,No
6006,17,17,288,8,No
5977,10,21,209,8,No
5958,14,11,153,8,No
5969,14,11,153,8,No
5973,17,9,152,8,No
5998,13,11,142,8,No
5928,12,9,107,8,No
5941,18,5,89,8,No
5980,6,14,83,8,No
6032,12,7,83,8,No
5992,6,13,77,8,No
5929,11,7,76,8,No
5986,11,7,76,8,No
5919,11,5,54,8,No
5983,7,5,34,8,No
