Parcel_Id,Island,Depth,Width,Area,Height,Is_Seaside
5466,Satoshi,4,6,23,17,Yes
5732,Miami,14,20,279,16,Yes
6297,Igloo,11,7,76,16,Yes
6240,Igloo,10,7,69,16,Yes
6285,Igloo,16,18,287,15,Yes
6284,Igloo,10,17,169,15,Yes
6283,Igloo,8,18,143,15,Yes
6255,Igloo,6,15,89,15,Yes
5729,Miami,13,6,77,15,Yes
6289,Igloo,6,12,71,15,Yes
6265,Igloo,7,10,69,15,Yes
6242,Igloo,6,8,47,15,Yes
6267,Igloo,15,17,254,14,Yes
6252,Igloo,13,11,142,14,Yes
6286,Igloo,6,15,89,14,Yes
6293,Igloo,13,17,220,13,Yes
5472,Satoshi,16,6,95,13,Yes
5451,Satoshi,9,15,134,12,Yes
6279,Igloo,6,11,65,12,Yes
6296,Igloo,17,15,254,10,Yes
6239,Igloo,12,20,239,10,Yes
6226,Igloo,14,12,167,9,Yes
6295,Igloo,11,9,98,9,Yes
6235,Igloo,5,18,89,9,Yes
6290,Igloo,11,7,76,9,Yes
6304,Igloo,8,8,63,9,Yes
6247,Igloo,16,19,303,8,Yes
6250,Igloo,12,18,215,8,Yes
6234,Igloo,13,16,207,8,Yes
6263,Igloo,15,13,194,8,Yes
6264,Igloo,14,13,181,8,Yes
6281,Igloo,10,15,149,8,Yes
6273,Igloo,14,10,139,8,Yes
6291,Igloo,14,9,125,8,Yes
6292,Igloo,7,15,104,8,Yes
6299,Igloo,11,9,98,8,Yes
6294,Igloo,13,7,90,8,Yes
6300,Igloo,13,7,90,8,Yes
6288,Igloo,7,12,83,8,Yes
6302,Igloo,7,12,83,8,Yes
6298,Igloo,7,11,76,8,Yes
5416,Satoshi,7,10,69,8,Yes
6231,Igloo,8,8,63,8,Yes
5377,Satoshi,6,9,53,8,Yes
6210,Igloo,6,10,59,17,No
6254,Igloo,15,15,224,16,No
6257,Igloo,9,13,116,16,No
6216,Igloo,7,12,83,16,No
6206,Igloo,14,16,223,15,No
6280,Igloo,12,17,203,15,No
6278,Igloo,14,13,181,15,No
6229,Igloo,18,8,143,15,No
6218,Igloo,11,13,142,15,No
6211,Igloo,8,7,55,15,No
6214,Igloo,7,6,41,15,No
6277,Igloo,14,17,237,14,No
6202,Igloo,6,12,71,14,No
6198,Igloo,6,10,59,14,No
6215,Igloo,18,10,179,13,No
6225,Igloo,9,20,179,13,No
6208,Igloo,14,12,167,13,No
6212,Igloo,11,8,87,13,No
6276,Igloo,16,17,271,12,No
6245,Igloo,14,7,97,12,No
6227,Igloo,10,7,69,12,No
6260,Igloo,7,17,118,11,No
6244,Igloo,8,11,87,11,No
6271,Igloo,8,10,79,11,No
6303,Igloo,17,13,220,10,No
6249,Igloo,11,15,164,10,No
6269,Igloo,10,13,129,10,No
6270,Igloo,10,10,99,10,No
6197,Igloo,6,6,35,10,No
6253,Igloo,18,19,341,9,No
6243,Igloo,18,15,269,9,No
6262,Igloo,15,14,209,9,No
6274,Igloo,14,15,209,9,No
6213,Igloo,13,13,168,9,No
6228,Igloo,14,11,153,9,No
6204,Igloo,14,10,139,9,No
6199,Igloo,15,9,134,9,No
6256,Igloo,6,19,113,9,No
6305,Igloo,13,8,103,9,No
6203,Igloo,14,6,83,9,No
6275,Igloo,6,7,41,9,No
6221,Igloo,15,18,269,8,No
6134,Pluto,0,0,240,8,No
6205,Igloo,15,15,224,8,No
6232,Igloo,17,13,220,8,No
6251,Igloo,16,12,191,8,No
6266,Igloo,14,13,181,8,No
6268,Igloo,18,10,179,8,No
6219,Igloo,11,16,175,8,No
6259,Igloo,17,10,169,8,No
6222,Igloo,12,14,167,8,No
6223,Igloo,11,15,164,8,No
6238,Igloo,8,19,151,8,No
6241,Igloo,8,18,143,8,No
6301,Igloo,8,18,143,8,No
6200,Igloo,7,20,139,8,No
6209,Igloo,8,17,135,8,No
6272,Igloo,8,17,135,8,No
6258,Igloo,10,13,129,8,No
6217,Igloo,16,8,127,8,No
6261,Igloo,9,14,125,8,No
6220,Igloo,17,7,118,8,No
6233,Igloo,10,11,109,8,No
6237,Igloo,12,9,107,8,No
6236,Igloo,13,8,103,8,No
6224,Igloo,7,14,97,8,No
6201,Igloo,6,16,95,8,No
6246,Igloo,8,12,95,8,No
6230,Igloo,11,8,87,8,No
6287,Igloo,14,6,83,8,No
6282,Igloo,13,6,77,8,No
6248,Igloo,10,7,69,8,No
6207,Igloo,7,7,48,8,No
