Parcel_Id,Kind,Suburb,Area,Height
7073,plot,Milky Way,176 ,38
7204,plot,Milky Way,864 ,20
7102,plot,Milky Way,600 ,20
7070,plot,Milky Way,506 ,20
7313,plot,Milky Way,312 ,20
7032,plot,Milky Way,841 ,19
7125,plot,Milky Way,675 ,19
7183,plot,Milky Way,552 ,19
7157,plot,Milky Way,494 ,19
7153,plot,Milky Way,812 ,18
7201,plot,Milky Way,702 ,18
7031,plot,Milky Way,493 ,18
7147,plot,Milky Way,399 ,18
7195,plot,Milky Way,330 ,18
7400,plot,Milky Way,962 ,17
7047,plot,Milky Way,880 ,17
7171,plot,Milky Way,770 ,17
7137,plot,Milky Way,552 ,17
7176,plot,Milky Way,528 ,17
7207,plot,Milky Way,506 ,17
7061,plot,Milky Way,377 ,17
7143,plot,Milky Way,320 ,17
7091,plot,Milky Way,255 ,17
7075,plot,Milky Way,962 ,16
7124,plot,Milky Way,800 ,16
7337,plot,Milky Way,390 ,16
7317,plot,Milky Way,375 ,16
7037,plot,Milky Way,260 ,16
7062,plot,Milky Way,242 ,16
7034,plot,Milky Way,144 ,16
7072,plot,Milky Way,1155 ,15
7253,plot,Milky Way,832 ,15
7112,plot,Milky Way,506 ,15
7103,plot,Milky Way,336 ,15
7041,plot,Milky Way,140 ,15
7149,plot,Milky Way,1406 ,14
7234,plot,Milky Way,1209 ,14
7372,plot,Milky Way,1014 ,14
7099,plot,Milky Way,1000 ,14
7180,plot,Milky Way,880 ,14
7051,plot,Milky Way,806 ,14
7177,plot,Milky Way,748 ,14
7093,plot,Milky Way,704 ,14
7108,plot,Milky Way,640 ,14
7295,plot,Milky Way,638 ,14
7339,plot,Milky Way,588 ,14
7236,plot,Milky Way,507 ,14
7198,plot,Milky Way,506 ,14
7294,plot,Milky Way,500 ,14
7288,plot,Milky Way,360 ,14
7141,plot,Milky Way,330 ,14
7300,plot,Milky Way,288 ,14
7263,plot,Milky Way,264 ,14
7221,plot,Milky Way,1334 ,13
7068,plot,Milky Way,1224 ,13
7065,plot,Milky Way,928 ,13
7192,plot,Milky Way,828 ,13
7226,plot,Milky Way,576 ,13
